"","OperatorName","PlantName","PlantState","County","OperatorID","PlantID","GeneratorID","UniqueID","NetGeneration2018","NameplateCapacityMW","Technology","EnergySource1","Status","OperatingMonth","OperatingYear","PlannedRetirementMonth","PlannedRetirementYear","CapacityFactor"
"3105","Oneta Power LLC","Oneta Energy Center","OK","Wagoner",2897,55225,"STG2","2897 55225 STG2",950061,255,"Natural Gas Fired Combined Cycle","NG","OP",6,2003,NA,NA,42.5311576685469
"3106","Freestone Power Generation LLC","Freestone Energy Center","TX","Freestone",6763,55226,"GT1","6763 55226 GT1",1002358,166.7,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,68.6409293483769
"3107","Freestone Power Generation LLC","Freestone Energy Center","TX","Freestone",6763,55226,"GT2","6763 55226 GT2",985227,166.7,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,67.4678078083013
"3108","Freestone Power Generation LLC","Freestone Energy Center","TX","Freestone",6763,55226,"GT3","6763 55226 GT3",1026495,166.7,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,70.293817948739
"3109","Freestone Power Generation LLC","Freestone Energy Center","TX","Freestone",6763,55226,"GT4","6763 55226 GT4",1056673,166.7,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,72.3603909355115
"3110","Freestone Power Generation LLC","Freestone Energy Center","TX","Freestone",6763,55226,"ST3","6763 55226 ST3",1145174,184.6,"Natural Gas Fired Combined Cycle","NG","OP",6,2002,NA,NA,70.8166985757184
"3111","Freestone Power Generation LLC","Freestone Energy Center","TX","Freestone",6763,55226,"ST6","6763 55226 ST6",1178984,184.6,"Natural Gas Fired Combined Cycle","NG","OP",7,2002,NA,NA,72.9074835383923
"3112","Brazos Electric Power Coop Inc","Jack County","TX","Wise",2172,55230,"CT1","2172 55230 CT1",523514,170,"Natural Gas Fired Combined Cycle","NG","OP",2,2006,NA,NA,35.1540424388934
"3113","Brazos Electric Power Coop Inc","Jack County","TX","Wise",2172,55230,"CT2","2172 55230 CT2",480098,170,"Natural Gas Fired Combined Cycle","NG","OP",2,2006,NA,NA,32.2386516250336
"3114","Brazos Electric Power Coop Inc","Jack County","TX","Wise",2172,55230,"CT3","2172 55230 CT3",555153,170,"Natural Gas Fired Combined Cycle","NG","OP",3,2011,NA,NA,37.2786059629331
